"Longitude","Latitude","SurfT_C"
-156.1333,20.7333,293
-156.1283,20.7367,291
-156.125,20.7417,291
-156.1333,20.735,291
-156.1467,20.73,296
-156.1317,20.7367,291
-155.7183,20.17,295
-155.495,19.71,304
-156.255,20.7917,296
-156.6,20.9,295
-155.5033,19.7567,304
-156.59,20.8933,293
-156.575,20.9167,292
-156.1367,20.7317,294
-156.255,20.7917,296
-156.255,20.7917,296
-156.255,20.7917,296
-155.495,19.9083,298
-156.59,20.9033,293
-156.1417,20.6967,301
-156.555,20.85,295
-155.7983,19.45,294
-156.605,20.85,301
-155.455,19.76,306
-156.1417,20.6967,301
-156.1283,20.69,299
-156.1283,20.6833,300
-155.2833,19.4,308
-156.2467,20.7767,296
-155.4,19.6833,301
-155.34,19.4533,299
-155.2567,19.4,306
-155.425,19.3633,297
-155.7333,19.575,301
-155.7783,19.1667,301
-156.05,20.7167,295
-156.0583,20.7133,294
-156.055,20.72,294
-155.1733,19.7683,295
-156.2417,20.7417,295
-156.3067,20.72,297
-156.1467,20.7333,296
-159.5167,21.98,295
-156.9167,21.115,294
-159.5933,22.0717,294
-159.5,22.0717,292
-159.5967,22.175,293
-159.6167,22.145,292
-159.5,22.0717,292
-156.8833,21.1167,292
-156.8833,21.1167,292
-159.6167,22.1333,292
-159.6167,22.1333,292
-159.6167,22.1333,292
-159.6,22.15,292
-156.1167,20.7333,292
-156.575,20.9167,292
-156.6,20.9,295
-156.6,20.9,295
-156.575,20.9167,292
-159.5933,22.0717,294
-159.5083,21.985,295
-155.7883,20.1383,298
-155.7883,20.1383,298
-155.3667,19.6733,299
-156.6,20.9,295
-155.32,19.68,295
-155.2167,19.43,295
-155.3167,19.6333,298
-159.5967,22.1583,292
-159.5933,22.0717,294
-156.575,20.9167,292
-156.575,20.9167,292
-157.84,21.4033,295
-157.84,21.4033,295
-157.89,21.4833,295
-157.8917,21.4817,295
-157.92,21.5283,294
-157.8367,21.415,295
-156.3167,20.875,301
-156.3264,20.7389,302
-156.2967,20.8231,301
-156.3167,20.875,301
-159.665,22.0983,294
-158.1233,21.4117,304
-155.7667,19.1667,303
-155.7667,19.1667,303
-157.9833,21.4117,304
-155.2417,19.4167,300
-156.3883,20.6617,302
-155.2833,19.45,297
-156.6,20.855,300
-156.3122,20.7419,299
-155.305,19.4417,298
-155.2383,19.41,295
-156.325,20.75,302
-159.6667,22.1,294
-159.6833,22.1183,295
-155.5933,20.035,298
-156.2439,20.7681,296
-156.3297,20.6433,298
-156.2664,20.8031,294
-159.65,22.1583,295
-159.62,22.1833,295
-159.67,22.15,295
-155.2833,19.4,308
-155.3167,19.4667,300
-156.2992,20.7197,295
-156.2436,20.7683,296
-155.7883,20.1383,298
-156.2467,20.7633,296
-156.2417,20.7583,295
-155.6667,20,306
-156.6517,20.8917,304
-155.385,19.49,305
-155.275,19.325,309
-156.155,20.68,303
-156.15,20.68,302
-155.45,19.2633,298
-156.2383,20.8133,292
-156.2683,20.755,297
-159.6783,22.1,294
-156.2283,20.745,295
-155.2833,19.4,308
-155.2833,19.4,308
-155.4917,19.6967,304
-155.4567,20.095,299
-156.9433,21.1483,294
-159.665,22.0983,294
-158.0983,21.4083,298
-155.225,19.44,294
-156.1317,20.7367,291
-156.2,20.7417,299
-155.7883,20.1383,298
-155.3883,19.9867,297
-155.2967,19.5567,295
-155.3867,19.4967,305
-155.3,19.4667,298
-155.7917,19.4267,294
-155.225,19.44,294
-155.3167,19.5,298
-156.6,20.9333,295
-155.235,19.4333,295
-155.35,19.4667,299
-156.1533,20.73,296
-156.255,20.7917,296
-155.3833,19.9283,300
-155.3067,19.44,298
-155.6567,19.2017,301
-155.3033,19.4417,298
-155.5933,19.8333,301
-155.7575,20.0811,303
-155.65,19.9833,305
-155.6833,19.9167,304
-156.3383,20.75,303
-155.4533,19.7367,305
-155.51,19.75,306
-155.615,19.7733,303
-155.625,19.795,310
-155.2433,19.433,296
-158.185,21.545,297
-159.65,22.1167,293
-155.635,19.9467,306
-157.7367,21.3317,296
-155.74,19.8667,306
-156.33,20.7617,302
-156.4,20.645,301
-159.5,21.9833,295
-159.5933,22.1917,295
-156.8717,21.095,294
-157.8517,21.4167,295
-157.88,21.485,294
-158.18,21.52,297
